home,away,home_slug,away_slug,home_goals,away_goals,result,date,season,club_goals_home,club_tacklesWon_home,club_blocks_home,club_totalPasses_home,tps_p_goals_home,tps_p_assists_home,tps_p_totalPasses_home,tps_p_cleanSheets_home,ply_sum_rank_home,ply_sum_value_home,ply_mean_rank_home,ply_mean_value_home,mv_Rank_home,mv_ValueAug1EUR_home,mv_CurrentValueEUR_home,mv_ChangePct_home,mv_Arrivals_home,mv_Departures_home,mvply_sum_home,mvply_mean_home,mvply_count_home,mgr_TenureDays_home,prev_rank_home,prev_pts_home,trf_arrivals_home,trf_spend_in_home,trf_departures_home,trf_spend_out_home,trf_net_spend_home,club_goals_away,club_tacklesWon_away,club_blocks_away,club_totalPasses_away,tps_p_goals_away,tps_p_assists_away,tps_p_totalPasses_away,tps_p_cleanSheets_away,ply_sum_rank_away,ply_sum_value_away,ply_mean_rank_away,ply_mean_value_away,mv_Rank_away,mv_ValueAug1EUR_away,mv_CurrentValueEUR_away,mv_ChangePct_away,mv_Arrivals_away,mv_Departures_away,mvply_sum_away,mvply_mean_away,mvply_count_away,mgr_TenureDays_away,prev_rank_away,prev_pts_away,trf_arrivals_away,trf_spend_in_away,trf_departures_away,trf_spend_out_away,trf_net_spend_away,y3,goal_diff
Stoke,Man City,stoke,manchester city,1.0,1.0,D,2012-09-15,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,1653.0,3.0,0.0,214.0,0.0,,,,,2.0,1320000000.0,1230000000.0,-6.8,16.0,16.0,1038000000.0,64875000.0,16.0,3358.0,3.0,43.0,,,,,,1.0,0.0
Sunderland,Liverpool,sunderland,liverpool,1.0,1.0,D,2012-09-15,2012-2013,5.0,0.0,0.0,1358.0,0.0,2.0,212.0,1.0,,,,,,,,,,,,,,436.0,,,,,,,,8.0,30.0,13.0,1370.0,2.0,3.0,217.0,0.0,,,,,3.0,1040000000.0,1120000000.0,8.1,15.0,12.0,910000000.0,75833333.33333333,12.0,466.0,1.0,48.0,,,,,,1.0,0.0
Reading,Tottenham,reading,tottenham,1.0,3.0,A,2012-09-16,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,33.0,10.0,1319.0,0.0,2.0,199.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,-2.0
Everton,Newcastle,everton,newcastle,2.0,2.0,D,2012-09-17,2012-2013,5.0,31.0,18.0,0.0,2.0,4.0,0.0,0.0,,,,,15.0,340200000.0,368600000.0,8.3,18.0,18.0,50000000.0,50000000.0,1.0,242.0,8.0,37.0,,,,,,,,,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Chelsea,Stoke,chelsea,stoke,1.0,0.0,H,2012-09-22,2012-2013,7.0,0.0,10.0,1639.0,4.0,3.0,403.0,2.0,,,,,4.0,1170000000.0,1080000000.0,-7.4,26.0,23.0,675000000.0,61363636.36363637,11.0,464.0,4.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
Southampton,Aston Villa,southampton,aston villa,4.0,1.0,H,2012-09-22,2012-2013,,,,,,,,,,,,,,,,,,,,,,,21.0,6.0,,,,,,0.0,0.0,11.0,1428.0,0.0,0.0,0.0,1.0,,,,,9.0,565000000.0,547000000.0,-3.2,17.0,17.0,223000000.0,44600000.0,5.0,1040.0,6.0,38.0,,,,,,0.0,3.0
Swansea,Everton,swansea,everton,0.0,3.0,A,2012-09-22,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,31.0,18.0,0.0,2.0,4.0,0.0,0.0,,,,,15.0,340200000.0,368600000.0,8.3,18.0,18.0,50000000.0,50000000.0,1.0,242.0,8.0,37.0,,,,,,2.0,-3.0
West Brom,Reading,west bromwich albion,reading,1.0,0.0,H,2012-09-22,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
West Ham,Sunderland,west ham,sunderland,1.0,1.0,D,2012-09-22,2012-2013,0.0,0.0,0.0,1327.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,1358.0,0.0,2.0,212.0,1.0,,,,,,,,,,,,,,436.0,,,,,,,,1.0,0.0
Wigan,Fulham,wigan,fulham,1.0,2.0,A,2012-09-22,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,331600000.0,337500000.0,1.8,5.0,7.0,,,,1532.0,13.0,27.0,,,,,,2.0,-1.0
Liverpool,Man United,liverpool,man united,1.0,2.0,A,2012-09-23,2012-2013,8.0,30.0,13.0,1370.0,2.0,3.0,217.0,0.0,,,,,3.0,1040000000.0,1120000000.0,8.1,15.0,12.0,910000000.0,75833333.33333333,12.0,466.0,1.0,48.0,,,,,,0.0,31.0,0.0,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-1.0
Man City,Arsenal,manchester city,arsenal,1.0,1.0,D,2012-09-23,2012-2013,5.0,0.0,0.0,1653.0,3.0,0.0,214.0,0.0,,,,,2.0,1320000000.0,1230000000.0,-6.8,16.0,16.0,1038000000.0,64875000.0,16.0,3358.0,3.0,43.0,,,,,,6.0,0.0,14.0,1264.0,2.0,2.0,0.0,2.0,,,,,1.0,1320000000.0,1330000000.0,0.6,15.0,14.0,1150000000.0,67647058.8235294,17.0,2089.0,2.0,44.0,,,,,,1.0,0.0
Newcastle,Norwich,newcastle,norwich,1.0,0.0,H,2012-09-23,2012-2013,,,,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
Tottenham,QPR,tottenham,qpr,2.0,1.0,H,2012-09-23,2012-2013,5.0,33.0,10.0,1319.0,0.0,2.0,199.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
Arsenal,Chelsea,arsenal,chelsea,1.0,2.0,A,2012-09-29,2012-2013,6.0,0.0,14.0,1264.0,2.0,2.0,0.0,2.0,,,,,1.0,1320000000.0,1330000000.0,0.6,15.0,14.0,1150000000.0,67647058.8235294,17.0,2089.0,2.0,44.0,,,,,,7.0,0.0,10.0,1639.0,4.0,3.0,403.0,2.0,,,,,4.0,1170000000.0,1080000000.0,-7.4,26.0,23.0,675000000.0,61363636.36363637,11.0,464.0,4.0,41.0,,,,,,2.0,-1.0
Everton,Southampton,everton,southampton,3.0,1.0,H,2012-09-29,2012-2013,5.0,31.0,18.0,0.0,2.0,4.0,0.0,0.0,,,,,15.0,340200000.0,368600000.0,8.3,18.0,18.0,50000000.0,50000000.0,1.0,242.0,8.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,6.0,,,,,,0.0,2.0
Fulham,Man City,fulham,manchester city,1.0,2.0,A,2012-09-29,2012-2013,,,,,,,,,,,,,16.0,331600000.0,337500000.0,1.8,5.0,7.0,,,,1532.0,13.0,27.0,,,,,,5.0,0.0,0.0,1653.0,3.0,0.0,214.0,0.0,,,,,2.0,1320000000.0,1230000000.0,-6.8,16.0,16.0,1038000000.0,64875000.0,16.0,3358.0,3.0,43.0,,,,,,2.0,-1.0
Man United,Tottenham,man united,tottenham,2.0,3.0,A,2012-09-29,2012-2013,0.0,31.0,0.0,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,33.0,10.0,1319.0,0.0,2.0,199.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,-1.0
Norwich,Liverpool,norwich,liverpool,2.0,5.0,A,2012-09-29,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,30.0,13.0,1370.0,2.0,3.0,217.0,0.0,,,,,3.0,1040000000.0,1120000000.0,8.1,15.0,12.0,910000000.0,75833333.33333333,12.0,466.0,1.0,48.0,,,,,,2.0,-3.0
Reading,Newcastle,reading,newcastle,2.0,2.0,D,2012-09-29,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Stoke,Swansea,stoke,swansea,2.0,0.0,H,2012-09-29,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
Sunderland,Wigan,sunderland,wigan,1.0,0.0,H,2012-09-29,2012-2013,5.0,0.0,0.0,1358.0,0.0,2.0,212.0,1.0,,,,,,,,,,,,,,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
Aston Villa,West Brom,aston villa,west bromwich albion,1.0,1.0,D,2012-09-30,2012-2013,0.0,0.0,11.0,1428.0,0.0,0.0,0.0,1.0,,,,,9.0,565000000.0,547000000.0,-3.2,17.0,17.0,223000000.0,44600000.0,5.0,1040.0,6.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
QPR,West Ham,qpr,west ham,1.0,2.0,A,2012-10-01,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1327.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,-1.0
Chelsea,Norwich,chelsea,norwich,4.0,1.0,H,2012-10-06,2012-2013,7.0,0.0,10.0,1639.0,4.0,3.0,403.0,2.0,,,,,4.0,1170000000.0,1080000000.0,-7.4,26.0,23.0,675000000.0,61363636.36363637,11.0,464.0,4.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
Man City,Sunderland,manchester city,sunderland,3.0,0.0,H,2012-10-06,2012-2013,5.0,0.0,0.0,1653.0,3.0,0.0,214.0,0.0,,,,,2.0,1320000000.0,1230000000.0,-6.8,16.0,16.0,1038000000.0,64875000.0,16.0,3358.0,3.0,43.0,,,,,,5.0,0.0,0.0,1358.0,0.0,2.0,212.0,1.0,,,,,,,,,,,,,,436.0,,,,,,,,0.0,3.0
Swansea,Reading,swansea,reading,2.0,2.0,D,2012-10-06,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
West Brom,QPR,west bromwich albion,qpr,3.0,2.0,H,2012-10-06,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
West Ham,Arsenal,west ham,arsenal,1.0,3.0,A,2012-10-06,2012-2013,0.0,0.0,0.0,1327.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,14.0,1264.0,2.0,2.0,0.0,2.0,,,,,1.0,1320000000.0,1330000000.0,0.6,15.0,14.0,1150000000.0,67647058.8235294,17.0,2089.0,2.0,44.0,,,,,,2.0,-2.0
Wigan,Everton,wigan,everton,2.0,2.0,D,2012-10-06,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,31.0,18.0,0.0,2.0,4.0,0.0,0.0,,,,,15.0,340200000.0,368600000.0,8.3,18.0,18.0,50000000.0,50000000.0,1.0,242.0,8.0,37.0,,,,,,1.0,0.0
Liverpool,Stoke,liverpool,stoke,0.0,0.0,D,2012-10-07,2012-2013,8.0,30.0,13.0,1370.0,2.0,3.0,217.0,0.0,,,,,3.0,1040000000.0,1120000000.0,8.1,15.0,12.0,910000000.0,75833333.33333333,12.0,466.0,1.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Newcastle,Man United,newcastle,man united,0.0,3.0,A,2012-10-07,2012-2013,,,,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,31.0,0.0,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-3.0
Southampton,Fulham,southampton,fulham,2.0,2.0,D,2012-10-07,2012-2013,,,,,,,,,,,,,,,,,,,,,,,21.0,6.0,,,,,,,,,,,,,,,,,,16.0,331600000.0,337500000.0,1.8,5.0,7.0,,,,1532.0,13.0,27.0,,,,,,1.0,0.0
